TimeStamp,ECG Data,EMG Data,EDA Data,lowGamma,highGamma,highAlpha,delta,highBeta,lowAlpha,lowBeta,theta,attention,meditation 
36445,516,507,659.0,1,0,0,0,0,0,0,0,0,0
36446,520,505,659.0,1,0,0,0,0,0,0,0,0,0
36447,521,504,659.0,1,0,0,0,0,0,0,0,0,0
36448,518,503,660.0,1,0,0,0,0,0,0,0,0,0
36449,515,506,659.0,1,0,0,0,0,0,0,0,0,0
36450,514,510,660.0,1,0,0,0,0,0,0,0,0,0
36451,514,511,660.0,1,0,0,0,0,0,0,0,0,0
36452,513,509,659.0,1,0,0,0,0,0,0,0,0,0
36453,511,509,660.0,1,0,0,0,0,0,0,0,0,0
36454,509,509,659.0,1,0,0,0,0,0,0,0,0,0
36455,507,509,659.0,1,0,0,0,0,0,0,0,0,0
36456,506,510,659.0,1,0,0,0,0,0,0,0,0,0
36457,505,512,659.0,1,0,0,0,0,0,0,0,0,0
36458,506,514,659.0,1,0,0,0,0,0,0,0,0,0
36459,505,512,659.0,1,0,0,0,0,0,0,0,0,0
36460,504,510,660.0,1,0,0,0,0,0,0,0,0,0
36461,504,508,660.0,1,0,0,0,0,0,0,0,0,0
36462,506,508,660.0,1,0,0,0,0,0,0,0,0,0
36463,506,508,660.0,1,0,0,0,0,0,0,0,0,0
36464,505,511,660.0,1,0,0,0,0,0,0,0,0,0
36465,504,513,660.0,1,0,0,0,0,0,0,0,0,0
36466,503,513,660.0,1,0,0,0,0,0,0,0,0,0
36467,504,513,659.0,1,0,0,0,0,0,0,0,0,0
36468,505,510,660.0,1,0,0,0,0,0,0,0,0,0
36469,506,508,660.0,1,0,0,0,0,0,0,0,0,0
36470,509,508,660.0,1,0,0,0,0,0,0,0,0,0
36471,514,508,659.0,1,0,0,0,0,0,0,0,0,0
36472,521,506,660.0,1,0,0,0,0,0,0,0,0,0
36473,530,504,660.0,1,0,0,0,0,0,0,0,0,0
36474,544,501,660.0,1,0,0,0,0,0,0,0,0,0
36475,562,496,660.0,1,0,0,0,0,0,0,0,0,0
36476,587,489,660.0,1,0,0,0,0,0,0,0,0,0
36477,611,482,660.0,1,0,0,0,0,0,0,0,0,0
36478,620,480,660.0,1,0,0,0,0,0,0,0,0,0
36479,603,484,660.0,1,0,0,0,0,0,0,0,0,0
36480,567,494,660.0,1,0,0,0,0,0,0,0,0,0
36481,528,505,660.0,1,0,0,0,0,0,0,0,0,0
36482,492,515,660.0,1,0,0,0,0,0,0,0,0,0
36483,469,522,660.0,1,0,0,0,0,0,0,0,0,0
36484,460,525,660.0,1,0,0,0,0,0,0,0,0,0
36485,455,525,660.0,1,0,0,0,0,0,0,0,0,0
36486,454,522,660.0,1,0,0,0,0,0,0,0,0,0
36487,458,519,660.0,1,0,0,0,0,0,0,0,0,0
36488,467,518,660.0,1,0,0,0,0,0,0,0,0,0
36489,478,515,660.0,1,0,0,0,0,0,0,0,0,0
36490,484,513,660.0,1,0,0,0,0,0,0,0,0,0
36491,487,511,660.0,1,0,0,0,0,0,0,0,0,0
36492,488,511,660.0,1,0,0,0,0,0,0,0,0,0
36493,489,511,659.0,1,0,0,0,0,0,0,0,0,0
36494,492,511,660.0,1,0,0,0,0,0,0,0,0,0
36495,493,510,660.0,1,0,0,0,0,0,0,0,0,0
36496,493,510,660.0,1,0,0,0,0,0,0,0,0,0
36497,494,510,660.0,1,0,0,0,0,0,0,0,0,0
36498,494,511,660.0,1,0,0,0,0,0,0,0,0,0
36499,496,510,660.0,1,0,0,0,0,0,0,0,0,0
36500,498,509,660.0,1,0,0,0,0,0,0,0,0,0
36501,499,509,660.0,1,0,0,0,0,0,0,0,0,0
36502,500,507,660.0,1,0,0,0,0,0,0,0,0,0
36503,501,509,660.0,1,0,0,0,0,0,0,0,0,0
36504,504,510,660.0,1,0,0,0,0,0,0,0,0,0
36505,506,511,660.0,1,0,0,0,0,0,0,0,0,0
36506,505,512,660.0,1,0,0,0,0,0,0,0,0,0
36507,500,511,660.0,1,0,0,0,0,0,0,0,0,0
36508,497,511,660.0,1,0,0,0,0,0,0,0,0,0
36509,496,511,660.0,1,0,0,0,0,0,0,0,0,0
36510,497,511,660.0,1,0,0,0,0,0,0,0,0,0
36511,500,511,660.0,1,0,0,0,0,0,0,0,0,0
36512,502,511,660.0,1,0,0,0,0,0,0,0,0,0
36513,504,510,660.0,1,0,0,0,0,0,0,0,0,0
36514,505,510,660.0,1,0,0,0,0,0,0,0,0,0
36515,506,511,660.0,1,0,0,0,0,0,0,0,0,0
36516,506,509,660.0,1,0,0,0,0,0,0,0,0,0
36517,506,506,660.0,1,0,0,0,0,0,0,0,0,0
36518,507,505,660.0,1,0,0,0,0,0,0,0,0,0
36519,508,506,660.0,1,0,0,0,0,0,0,0,0,0
36520,508,507,660.0,1,0,0,0,0,0,0,0,0,0
36521,510,508,660.0,1,0,0,0,0,0,0,0,0,0
36522,510,511,660.0,1,0,0,0,0,0,0,0,0,0
36523,509,512,660.0,1,0,0,0,0,0,0,0,0,0
36524,510,513,660.0,1,0,0,0,0,0,0,0,0,0
36525,511,512,660.0,1,0,0,0,0,0,0,0,0,0
36526,511,509,660.0,1,0,0,0,0,0,0,0,0,0
36527,511,507,660.0,1,0,0,0,0,0,0,0,0,0
36528,512,507,660.0,1,0,0,0,0,0,0,0,0,0
36529,511,508,660.0,1,0,0,0,0,0,0,0,0,0
36530,511,508,660.0,1,0,0,0,0,0,0,0,0,0
36531,512,508,660.0,1,0,0,0,0,0,0,0,0,0
36532,511,508,660.0,1,0,0,0,0,0,0,0,0,0
36533,508,508,660.0,1,0,0,0,0,0,0,0,0,0
36534,508,508,660.0,1,0,0,0,0,0,0,0,0,0
36535,510,507,660.0,1,0,0,0,0,0,0,0,0,0
36536,511,507,660.0,1,0,0,0,0,0,0,0,0,0
36537,510,508,660.0,1,0,0,0,0,0,0,0,0,0
36538,510,507,660.0,1,0,0,0,0,0,0,0,0,0
36539,510,506,660.0,1,0,0,0,0,0,0,0,0,0
36540,510,506,660.0,1,0,0,0,0,0,0,0,0,0
36541,510,506,660.0,1,0,0,0,0,0,0,0,0,0
36542,511,508,660.0,1,0,0,0,0,0,0,0,0,0
36543,511,509,660.0,1,0,0,0,0,0,0,0,0,0
36544,512,509,660.0,1,0,0,0,0,0,0,0,0,0
36545,511,508,660.0,1,0,0,0,0,0,0,0,0,0
36546,511,508,660.0,1,0,0,0,0,0,0,0,0,0
36547,512,509,660.0,1,0,0,0,0,0,0,0,0,0
36548,512,508,660.0,1,0,0,0,0,0,0,0,0,0
36549,511,508,660.0,1,0,0,0,0,0,0,0,0,0
36550,510,508,660.0,1,0,0,0,0,0,0,0,0,0
36551,511,509,660.0,1,0,0,0,0,0,0,0,0,0
36552,510,509,660.0,1,0,0,0,0,0,0,0,0,0
36553,509,509,660.0,1,0,0,0,0,0,0,0,0,0
36554,505,509,660.0,1,0,0,0,0,0,0,0,0,0
36555,504,509,660.0,1,0,0,0,0,0,0,0,0,0
36556,506,509,660.0,1,0,0,0,0,0,0,0,0,0
36557,508,510,660.0,1,0,0,0,0,0,0,0,0,0
36558,508,509,660.0,1,0,0,0,0,0,0,0,0,0
36559,507,511,660.0,1,0,0,0,0,0,0,0,0,0
36560,505,513,660.0,1,0,0,0,0,0,0,0,0,0
36561,505,514,660.0,1,0,0,0,0,0,0,0,0,0
36562,506,515,660.0,1,0,0,0,0,0,0,0,0,0
36563,507,514,660.0,1,0,0,0,0,0,0,0,0,0
36564,506,511,660.0,1,0,0,0,0,0,0,0,0,0
36565,506,509,660.0,1,0,0,0,0,0,0,0,0,0
36566,505,510,660.0,1,0,0,0,0,0,0,0,0,0
36567,505,513,660.0,1,0,0,0,0,0,0,0,0,0
36568,505,516,660.0,1,0,0,0,0,0,0,0,0,0
36569,504,517,660.0,1,0,0,0,0,0,0,0,0,0
36570,504,518,660.0,1,0,0,0,0,0,0,0,0,0
36571,504,518,660.0,1,0,0,0,0,0,0,0,0,0
36572,504,516,660.0,1,0,0,0,0,0,0,0,0,0
36573,506,516,660.0,1,0,0,0,0,0,0,0,0,0
36574,507,516,660.0,1,0,0,0,0,0,0,0,0,0
36575,507,515,660.0,1,0,0,0,0,0,0,0,0,0
36576,507,514,660.0,1,0,0,0,0,0,0,0,0,0
36577,507,512,660.0,1,0,0,0,0,0,0,0,0,0
36578,506,512,660.0,1,0,0,0,0,0,0,0,0,0
36579,504,512,660.0,1,0,0,0,0,0,0,0,0,0
36580,503,511,660.0,1,0,0,0,0,0,0,0,0,0
36581,501,512,660.0,1,0,0,0,0,0,0,0,0,0
36582,502,511,660.0,1,0,0,0,0,0,0,0,0,0
36583,504,511,660.0,1,0,0,0,0,0,0,0,0,0
36584,506,512,660.0,1,0,0,0,0,0,0,0,0,0
36585,506,512,660.0,1,0,0,0,0,0,0,0,0,0
36586,505,510,660.0,1,0,0,0,0,0,0,0,0,0
36587,504,510,660.0,1,0,0,0,0,0,0,0,0,0
36588,504,509,660.0,1,0,0,0,0,0,0,0,0,0
36589,505,509,660.0,1,0,0,0,0,0,0,0,0,0
36590,506,509,660.0,1,0,0,0,0,0,0,0,0,0
36591,507,510,660.0,1,0,0,0,0,0,0,0,0,0
36592,508,511,660.0,1,0,0,0,0,0,0,0,0,0
36593,510,510,660.0,1,0,0,0,0,0,0,0,0,0
36594,510,509,660.0,1,0,0,0,0,0,0,0,0,0
36595,511,510,660.0,1,0,0,0,0,0,0,0,0,0
36596,510,510,660.0,1,0,0,0,0,0,0,0,0,0
36597,511,510,660.0,1,0,0,0,0,0,0,0,0,0
36598,512,510,660.0,1,0,0,0,0,0,0,0,0,0
36599,512,509,660.0,1,0,0,0,0,0,0,0,0,0
36600,512,509,660.0,1,0,0,0,0,0,0,0,0,0
36601,513,510,660.0,1,0,0,0,0,0,0,0,0,0
36602,513,510,660.0,1,0,0,0,0,0,0,0,0,0
36603,512,511,660.0,1,0,0,0,0,0,0,0,0,0
36604,513,512,660.0,1,0,0,0,0,0,0,0,0,0
36605,514,511,660.0,1,0,0,0,0,0,0,0,0,0
36606,513,511,660.0,1,0,0,0,0,0,0,0,0,0
36607,510,511,660.0,1,0,0,0,0,0,0,0,0,0
36608,510,512,660.0,1,0,0,0,0,0,0,0,0,0
36609,509,512,660.0,1,0,0,0,0,0,0,0,0,0
36610,508,510,660.0,1,0,0,0,0,0,0,0,0,0
36611,507,511,660.0,1,0,0,0,0,0,0,0,0,0
36612,504,512,660.0,1,0,0,0,0,0,0,0,0,0
36613,504,513,660.0,1,0,0,0,0,0,0,0,0,0
36614,504,513,660.0,1,0,0,0,0,0,0,0,0,0
36615,504,512,660.0,1,0,0,0,0,0,0,0,0,0
36616,505,511,660.0,1,0,0,0,0,0,0,0,0,0
36617,506,511,660.0,1,0,0,0,0,0,0,0,0,0
36618,507,511,660.0,1,0,0,0,0,0,0,0,0,0
36619,508,512,660.0,1,0,0,0,0,0,0,0,0,0
36620,508,512,660.0,1,0,0,0,0,0,0,0,0,0
36621,508,513,660.0,1,0,0,0,0,0,0,0,0,0
36622,508,513,660.0,1,0,0,0,0,0,0,0,0,0
36623,507,511,660.0,1,0,0,0,0,0,0,0,0,0
36624,506,512,660.0,1,0,0,0,0,0,0,0,0,0
36625,506,512,660.0,1,0,0,0,0,0,0,0,0,0
36626,507,513,660.0,1,0,0,0,0,0,0,0,0,0
36627,508,514,660.0,1,0,0,0,0,0,0,0,0,0
36628,509,514,660.0,1,0,0,0,0,0,0,0,0,0
36629,509,513,660.0,1,0,0,0,0,0,0,0,0,0
36630,509,512,660.0,1,0,0,0,0,0,0,0,0,0
36631,510,511,660.0,1,0,0,0,0,0,0,0,0,0
36632,512,511,660.0,1,0,0,0,0,0,0,0,0,0
36633,511,510,660.0,1,0,0,0,0,0,0,0,0,0
36634,511,510,660.0,1,0,0,0,0,0,0,0,0,0
36635,514,511,660.0,1,0,0,0,0,0,0,0,0,0
